date,name,cum_return
2021-02-16,PORTFOLIO,4.91203401
2021-02-17,PORTFOLIO,7.800512242
2021-02-18,PORTFOLIO,5.388588767
2021-02-19,PORTFOLIO,6.326343973
2021-02-22,PORTFOLIO,7.397832793
2021-02-23,PORTFOLIO,11.731661992
2021-02-24,PORTFOLIO,19.50614646
2021-02-25,PORTFOLIO,16.416615563
2021-02-26,PORTFOLIO,19.070220821
2021-03-01,PORTFOLIO,22.737446167
2021-03-02,PORTFOLIO,27.520211648
2021-03-03,PORTFOLIO,25.996531658
2021-03-04,PORTFOLIO,26.699324664
2021-03-05,PORTFOLIO,23.45036894
2021-03-08,PORTFOLIO,21.734636013
2021-03-09,PORTFOLIO,19.465246256
2021-03-10,PORTFOLIO,19.951382367
2021-03-11,PORTFOLIO,21.610903583
2021-03-12,PORTFOLIO,23.738360235
2021-03-15,PORTFOLIO,22.854496085
2021-03-16,PORTFOLIO,23.702200194
2021-03-17,PORTFOLIO,21.535385442
2021-03-18,PORTFOLIO,21.666940991
2021-03-19,PORTFOLIO,22.326204429
2021-03-22,PORTFOLIO,21.620485684
2021-03-23,PORTFOLIO,26.566136015
2021-03-24,PORTFOLIO,24.934163187
2021-03-25,PORTFOLIO,25.819501972
2021-03-26,PORTFOLIO,25.307444951
2021-03-29,PORTFOLIO,29.056367547
2021-03-30,PORTFOLIO,28.97113966
2021-03-31,PORTFOLIO,27.781628345
2021-04-01,PORTFOLIO,26.790129366
2021-04-02,PORTFOLIO,26.90611011
2021-04-05,PORTFOLIO,26.475164755
2021-04-06,PORTFOLIO,25.938398207
2021-04-07,PORTFOLIO,26.95062285
2021-04-08,PORTFOLIO,27.813165743
2021-04-09,PORTFOLIO,27.597885959
2021-04-12,PORTFOLIO,28.715901407
2021-04-13,PORTFOLIO,28.328666314
2021-04-14,PORTFOLIO,30.635013003
2021-04-15,PORTFOLIO,30.958092851
2021-04-16,PORTFOLIO,32.869334246
2021-04-19,PORTFOLIO,34.903691608
2021-04-20,PORTFOLIO,34.724104373
2021-04-21,PORTFOLIO,35.750604898
2021-04-22,PORTFOLIO,41.613564798
2021-04-23,PORTFOLIO,40.850102446
2021-04-26,PORTFOLIO,45.625316661
2021-04-27,PORTFOLIO,49.661928119
2021-04-28,PORTFOLIO,48.992171562
2021-04-29,PORTFOLIO,45.514266053
2021-04-30,PORTFOLIO,49.455284233
2021-05-03,PORTFOLIO,43.368357625
2021-05-04,PORTFOLIO,46.895901429
2021-05-05,PORTFOLIO,49.950446686
2021-05-06,PORTFOLIO,49.399656581
2021-05-07,PORTFOLIO,46.187915157
2021-05-10,PORTFOLIO,38.280570154
2021-05-11,PORTFOLIO,37.513828375
2021-05-12,PORTFOLIO,41.083070125
2021-05-13,PORTFOLIO,37.974269165
2021-05-14,PORTFOLIO,37.79193621
2021-05-17,PORTFOLIO,40.021089485
2021-05-18,PORTFOLIO,37.443204639
2021-05-19,PORTFOLIO,37.793895926
2021-05-20,PORTFOLIO,37.850307382
2021-05-21,PORTFOLIO,39.900876874
2021-05-24,PORTFOLIO,41.029471676
2021-05-25,PORTFOLIO,40.401251009
2021-05-26,PORTFOLIO,41.843104923
2021-05-27,PORTFOLIO,45.458548028
2021-05-28,PORTFOLIO,48.456942185
2021-05-31,PORTFOLIO,48.400845556
2021-06-01,PORTFOLIO,48.001337436
2021-06-02,PORTFOLIO,49.787819169
2021-06-03,PORTFOLIO,50.355039165
2021-06-04,PORTFOLIO,50.000659103
2021-06-07,PORTFOLIO,50.367033273
2021-06-08,PORTFOLIO,50.14249832
2021-06-09,PORTFOLIO,50.430967543
2021-06-10,PORTFOLIO,50.409950284
2021-06-11,PORTFOLIO,51.111556061
2021-06-14,PORTFOLIO,51.001967094
2021-06-15,PORTFOLIO,50.944863245
2021-06-16,PORTFOLIO,52.401791077
2021-06-17,PORTFOLIO,52.120212948
2021-06-18,PORTFOLIO,54.343429064
2021-06-21,PORTFOLIO,53.791569308
2021-06-22,PORTFOLIO,60.041289583
2021-06-23,PORTFOLIO,61.227290976
2021-06-24,PORTFOLIO,50.098905028
2021-06-25,PORTFOLIO,59.54872593
2021-06-28,PORTFOLIO,60.437178084
2021-06-29,PORTFOLIO,60.609297624
2021-06-30,PORTFOLIO,61.156035124
2021-07-01,PORTFOLIO,61.231947395
2021-07-02,PORTFOLIO,61.067788761
2021-07-05,PORTFOLIO,61.057187859
2021-07-06,PORTFOLIO,61.248666677
2021-07-07,PORTFOLIO,61.86442201
2021-07-08,PORTFOLIO,61.392428572
2021-07-09,PORTFOLIO,62.225362171
2021-07-12,PORTFOLIO,62.436486232
2021-07-13,PORTFOLIO,63.350414863
2021-07-14,PORTFOLIO,60.349957085
2021-07-15,PORTFOLIO,62.982106056
2021-07-16,PORTFOLIO,62.471780251
2021-07-19,PORTFOLIO,61.391683426
2021-07-20,PORTFOLIO,58.94450662
2021-07-21,PORTFOLIO,58.094936278
2021-07-22,PORTFOLIO,60.267986831
2021-07-23,PORTFOLIO,59.2712574
2021-07-26,PORTFOLIO,58.087647489
2021-07-27,PORTFOLIO,56.480801412
2021-07-28,PORTFOLIO,56.964253736
2021-07-29,PORTFOLIO,57.059120257
2021-07-30,PORTFOLIO,57.084523177
2021-08-02,PORTFOLIO,57.262354384
2021-08-03,PORTFOLIO,57.911582414
2021-08-04,PORTFOLIO,58.354763112
2021-08-05,PORTFOLIO,57.220625426
2021-08-06,PORTFOLIO,57.543004049
2021-08-09,PORTFOLIO,57.282848058
2021-08-10,PORTFOLIO,56.544570011
2021-08-11,PORTFOLIO,57.478833132
2021-08-12,PORTFOLIO,56.097674978
2021-08-13,PORTFOLIO,55.623558147
2021-08-16,PORTFOLIO,54.767148504
2021-08-17,PORTFOLIO,54.406996093
2021-08-18,PORTFOLIO,53.61026356
2021-08-19,PORTFOLIO,50.11590201
2021-08-20,PORTFOLIO,52.061122612
2021-08-23,PORTFOLIO,51.081103688
